Well,Link_to_PDF_Well_Completion_report
"
PL 203, OER DURHAM RANCH 827, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/cf206af2-40f1-4f01-b625-84ac979bb9a5/resource/geo-doc512681-cr103059/download/%252FReport%25252f103059%25252fDocument%25252f512681%25252fcr_103059_1.pdf
"
PL 418, OER DURHAM RANCH 872, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/460d9bf9-4b01-40fd-b378-f0d66c9156db/resource/geo-doc520260-cr106894/download/%252FReport%25252f106894%25252fDocument%25252f520260%25252fcr_106894_1.pdf
"
PL 418, OER DURHAM RANCH 873, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/d30deced-d414-4ba7-9b24-7663017bf541/resource/geo-doc512649-cr103139/download/%252FReport%25252f103139%25252fDocument%25252f512649%25252fcr_103139_1.pdf
"
PL 203, OER DURHAM RANCH 321, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/67f61879-2ac7-4435-b595-0440a5614758/resource/geo-doc509678-cr101280/download/%252FReport%25252f101280%25252fDocument%25252f509678%25252fcr_101280_1.pdf
"
PL 203, OER DURHAM RANCH 322, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/01bb0c94-6634-45c1-a4c7-4f90ce6157f8/resource/geo-doc509687-cr101281/download/%252FReport%25252f101281%25252fDocument%25252f509687%25252fcr_101281_1.pdf
"
PL 203, OER DURHAM RANCH 113, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/5794317b-cbe9-4c08-8a55-f533cf7b5000/resource/geo-doc520778-cr108071/download/%252FReport%25252f108071%25252fDocument%25252f520778%25252fcr_108071_1.pdf
"
PL 203, OER DURHAM RANCH 171, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/c8d002f3-3e6d-4fd0-b156-ec57460e87fa/resource/geo-doc522145-cr108310/download/%252FReport%25252f108310%25252fDocument%25252f522145%25252fcr_108310_1.pdf
"
PL 203, OER DURHAM RANCH 205, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/f2cc3085-3625-4167-934e-4f3258ab2e5e/resource/geo-doc510345-cr101517/download/%252FReport%25252f101517%25252fDocument%25252f510345%25252fcr_101517_1.pdf
"
PL 203, OER DURHAM RANCH 194, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/159e1492-6f70-4d59-88e5-ed0b05b6e1fa/resource/geo-doc511177-cr102232/download/%252FReport%25252f102232%25252fDocument%25252f511177%25252fcr_102232_1.pdf
"
PL 203, OER DURHAM RANCH 201, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/8a804c96-928f-4c7c-b665-39c96acd0e45/resource/geo-doc531106-cr101870/download/%252FReport%25252f101870%25252fDocument%25252f531106%25252fcr_101870_1.pdf
"
PL 203, OER DURHAM RANCH 197, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/0c35f3af-1f28-4a15-9034-c5e2dd45e88c/resource/geo-doc509606-cr101257/download/%252FReport%25252f101257%25252fDocument%25252f509606%25252fcr_101257_1.pdf
"
PL 418, OER DURHAM RANCH 801, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/7c8c628d-8b4d-400d-aa02-cc0b79c9d057/resource/geo-doc519254-cr106595/download/%252FReport%25252f106595%25252fDocument%25252f519254%25252fcr_106595_1.pdf
"
PL 203, OER DURHAM RANCH 822, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/6d656763-1002-4316-9617-398360ae62a5/resource/geo-doc518980-cr106987/download/%252FReport%25252f106987%25252fDocument%25252f518980%25252fcr_106987_1.pdf
"
PL 203, OER DURHAM RANCH 193, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a3a91d52-76d0-44c8-957e-c55191d050b8/resource/geo-doc512021-cr102301/download/%252FReport%25252f102301%25252fDocument%25252f512021%25252fcr_102301_1.pdf
"
PL 203, OER DURHAM RANCH 207, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/1e2f71dc-136c-4843-acf9-8fa6e03b4a0e/resource/geo-doc511060-cr102265/download/%252FReport%25252f102265%25252fDocument%25252f511060%25252fcr_102265_1.pdf
"
PL 203, OER DURHAM RANCH 210, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/8ade6456-9393-40be-b37f-b472240e894a/resource/geo-doc513097-cr103142/download/%252FReport%25252f103142%25252fDocument%25252f513097%25252fcr_103142_3.pdf
"
PL 203, OER DURHAM RANCH 216, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/9d1776d1-2ff1-44d9-af19-c55062cade64/resource/geo-doc513095-cr103146/download/%252FReport%25252f103146%25252fDocument%25252f513095%25252fcr_103146_3.pdf
"
PL 203, OER DURHAM RANCH 204, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/4352f5b7-581c-4a9f-acae-63f330aed6bc/resource/geo-doc511257-cr102263/download/%252FReport%25252f102263%25252fDocument%25252f511257%25252fcr_102263_1.pdf
"
PL 203, OER DURHAM RANCH 214, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/c2a9801e-5a75-47b6-8658-b51adf26b75a/resource/geo-doc510194-cr101532/download/%252FReport%25252f101532%25252fDocument%25252f510194%25252fcr_101532_1.pdf
"
PL 203, OER DURHAM RANCH 195, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/3eb90e13-a787-4291-a02f-bbc6ce6689f7/resource/geo-doc531044-cr101536/download/%252FReport%25252f101536%25252fDocument%25252f531044%25252fcr_101536_1.pdf
"
PL 195, AUS DURHAM RANCH 313, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/63a0bd9a-140a-4d64-bce5-7a6dc30ff539/resource/geo-doc509633-cr101276/download/%252FReport%25252f101276%25252fDocument%25252f509633%25252fcr_101276_1.pdf
"
PL 195, OER DURHAM RANCH 310, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/890a387e-11d6-4c92-8aa3-3b2236f07f3c/resource/geo-doc515759-cr104530/download/%252FReport%25252f104530%25252fDocument%25252f515759%25252fcr_104530_1.pdf
"
PL 203, OER DURHAM RANCH 217, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/4bab5e33-7372-4678-8d8c-a4e64622a90d/resource/geo-doc512395-cr103135/download/%252FReport%25252f103135%25252fDocument%25252f512395%25252fcr_103135_3.pdf
"
PL 203, OER DURHAM RANCH 208, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/db264811-1cd8-4e0c-bff1-0f94d4e1f3fa/resource/geo-doc531128-cr102270/download/%252FReport%25252f102270%25252fDocument%25252f531128%25252fcr_102270_1.pdf
"
PL 203, OER DURHAM RANCH 209, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/af56c3e8-7370-4210-b9cc-e9e2b887c3d2/resource/geo-doc512074-cr103134/download/%252FReport%25252f103134%25252fDocument%25252f512074%25252fcr_103134_3.pdf
"
PL 195, AUS DURHAM RANCH 397, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/3e2349a5-1672-4dfb-8201-f0bfeedfc803/resource/geo-doc664134-cr098047/download/%252FReport%252F98047%252FDocument%252F664134%252Fcr_98047_1.pdf
"
PL 195, AUS DURHAM RANCH 315, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/dad16311-abd2-4f57-8c60-4d28b0ae3a51/resource/geo-doc664620-cr098050/download/%252FReport%252F98050%252FDocument%252F664620%252Fcr_98050_1.pdf
"
PL 195, AUS DURHAM RANCH 388, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a74012af-6754-445e-ba5d-660a800d9054/resource/geo-doc665643-cr098049/download/%252FReport%252F98049%252FDocument%252F665643%252Fcr_98049_1.pdf
"
PL 195, OER DURHAM RANCH 289, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/dbcad573-2305-41af-b45c-239d6584143f/resource/geo-doc664637-cr098048/download/%252FReport%252F98048%252FDocument%252F664637%252Fcr_98048_1.pdf
"
PL 195, OER DURHAM RANCH 269, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/7b1c6165-4bb7-4a74-b026-d5926f60291c/resource/geo-doc664298-cr097822/download/%252FReport%25252f97822%25252fDocument%25252f664298%25252fcr_97822_1.pdf
"
PL 195, OER DURHAM RANCH 280, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a1a41f84-66f8-4960-9f0f-388f647efb60/resource/geo-doc664308-cr097308/download/%252FReport%25252f97308%25252fDocument%25252f664308%25252fcr_97308_1.pdf
"
PL 195, OER DURHAM RANCH 283, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/0fd4f64b-3daf-40e2-8758-81e24481db03/resource/geo-doc664400-cr097310/download/%252FReport%25252f97310%25252fDocument%25252f664400%25252fcr_97310_1.pdf
"
PL 195, OER DURHAM RANCH 290, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/5fde9ee8-2ae6-4bca-a2ff-dcdd2d9b8fcb/resource/geo-doc663773-cr097397/download/%252FReport%252F97397%252FDocument%252F663773%252Fcr_97397_1.pdf
"
PL 195, OER DURHAM RANCH 268, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/21067141-b631-4509-800c-7111a41854ea/resource/geo-doc664519-cr097339/download/%252FReport%252F97339%252FDocument%252F664519%252Fcr_97339_1.pdf
"
PL 195, OER DURHAM RANCH 281, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/8076425a-29b8-4d0c-a61d-a6198b47b233/resource/geo-doc663552-cr097309/download/%252FReport%25252f97309%25252fDocument%25252f663552%25252fcr_97309_1.pdf
"
PL 195, OER DURHAM RANCH 274, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/98656eab-58a2-49ad-add3-6e5360475580/resource/geo-doc663087-cr097396/download/%252FReport%25252f97396%25252fDocument%25252f663087%25252fcr_97396_1.pdf
"
PL 195, OER DURHAM RANCH 272, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/67ce6041-48ba-4668-a06b-e864f07e19eb/resource/geo-doc664589-cr097307/download/%252FReport%25252f97307%25252fDocument%25252f664589%25252fcr_97307_1.pdf
"
PL 415, OER DURHAM RANCH 386, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/8982becf-f4fc-4af5-80be-01ed1e589051/resource/geo-doc522303-cr109442/download/%252FReport%252F109442%252FDocument%252F522303%252Fcr_109442_1.pdf
"
PL 195, OER DURHAM RANCH 287, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/f485afb9-d71b-4e75-b1b6-55f7e3ef7c98/resource/geo-doc522559-cr108494/download/%252FReport%25252f108494%25252fDocument%25252f522559%25252fcr_108494_1.pdf
"
PL 414, OER DURHAM RANCH 327, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/62eb7420-8a4e-482f-9219-85a5eb47b21b/resource/geo-doc521062-cr108309/download/%252FReport%25252f108309%25252fDocument%25252f521062%25252fcr_108309_1.pdf
"
PL 417, OER DURHAM RANCH 127, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a6ee753d-7b69-41d2-b8ca-0ff828d251da/resource/geo-doc1033303-cr091749/download/%252FReport%252F91749%252FDocument%252F1033303%252Fcr_91749_1.pdf
"
PL 417, OER DURHAM RANCH 365, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/a15d5a77-e9ae-46ab-b797-ee36675317de/resource/geo-doc1033691-cr091200/download/%252FReport%252F91200%252FDocument%252F1033691%252Fcr_91200_1.pdf
"
PL 417, OER DURHAM RANCH 374, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/995f97ff-2675-4da6-93f7-83b74dccc25f/resource/geo-doc1033636-cr091752/download/%252FReport%252F91752%252FDocument%252F1033636%252Fcr_91752_1.pdf
"
PL 417, OER DURHAM RANCH 146, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/80ec034d-832f-4221-8788-59e98863f989/resource/geo-doc1032836-cr091115/download/%252FReport%252F91115%252FDocument%252F1032836%252Fcr_91115_1.pdf
"
PL 417, OER DURHAM RANCH 139, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/24f552b0-c503-4e7a-835b-20c49b10b2a2/resource/geo-doc1033841-cr091180/download/%252FReport%252F91180%252FDocument%252F1033841%252Fcr_91180_1.pdf
"
PL 195, OER DURHAM RANCH 305, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/5752e8a6-d8c6-499f-9f48-ee72681d49ca/resource/geo-doc1033501-cr090773/download/%252FReport%252F90773%252FDocument%252F1033501%252Fcr_90773_1.pdf
"
PL 417, OER DURHAM RANCH 357, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/1598c0e7-66ca-4da8-a2a2-9793f2e61d87/resource/geo-doc1033609-cr092232/download/%252FReport%252F92232%252FDocument%252F1033609%252Fcr_92232_1.pdf
"
PL 417, OER DURHAM RANCH 147, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/4288148e-e5c9-45e2-8443-aabf4a87743d/resource/geo-doc1033849-cr091944/download/%252FReport%252F91944%252FDocument%252F1033849%252Fcr_91944_1.pdf
"
PL 417, OER DURHAM RANCH 232, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/fc3d255d-4527-449d-865c-b75159499454/resource/geo-doc1033235-cr091750/download/%252FReport%252F91750%252FDocument%252F1033235%252Fcr_91750_1.pdf
"
PL 417, OER DURHAM RANCH 361, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/080664dc-7f30-4f8a-9546-4071cec2bcae/resource/geo-doc1033537-cr091197/download/%252FReport%252F91197%252FDocument%252F1033537%252Fcr_91197_1.pdf
"
PL 417, OER DURHAM RANCH 376, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/1e306fea-7781-44fe-a646-cec07f2abf61/resource/geo-doc1033471-cr091225/download/%252FReport%252F91225%252FDocument%252F1033471%252Fcr_91225_1.pdf
"
PL 417, OER DURHAM RANCH 364, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/d17a2cd6-4a21-47fb-8727-1eb89aa0a012/resource/geo-doc1033472-cr091199/download/%252FReport%252F91199%252FDocument%252F1033472%252Fcr_91199_1.pdf
"
PL 417, OER DURHAM RANCH 363, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/20401d84-9dad-4015-953c-6134675e2fb4/resource/geo-doc1033476-cr091198/download/%252FReport%252F91198%252FDocument%252F1033476%252Fcr_91198_1.pdf
"
PL 417, OER DURHAM RANCH 150, WELL COMPLETION REPORT
",https://geoscience.data.qld.gov.au/data/dataset/e37ebe72-41fa-4848-9ee2-7ad3e5d93bbb/resource/geo-doc1033776-cr091116/download/%252FReport%252F91116%252FDocument%252F1033776%252Fcr_91116_1.pdf
